Winner,Pot,Actions,ATTP1,ATTP2,HandNo
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,370
2,100.0,rcrrr/rcrrr,0.0,0.0,371
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,372
1,100.0,rcrrr/rcrrr,0.0,0.0,373
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,374
1,100.0,rcrrr/rcrrr,0.00019998550415039061,0.0,375
1,100.0,rrcrcrc/rrcrcrc,0.00014294896806989397,0.0,376
2,100.0,rcrrr/rcrrr,0.0,0.0,377
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,378
1,100.0,rcrrr/rcrrr,0.0,0.0,379
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,380
2,100.0,rcrrr/rcrrr,0.00020055770874023439,0.0,381
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,382
1,100.0,rcrrr/rcrrr,0.0,0.0,383
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,384
2,100.0,rcrrr/rcrrr,0.0,0.0,385
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,386
2,100.0,rcrrr/rcrrr,0.0,0.0,387
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,388
2,100.0,rcrrr/rcrrr,0.0,0.0,389
0,100.0,rrcrcrc/rrcrcrc,0.0,0.0,390
1,100.0,rcrrr/rcrrr,0.0,0.0,391
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,392
2,100.0,rcrrr/rcrrr,0.0,0.0,393
1,100.0,rrcrcrc/rrcrcrc,0.0,0.00019998550415039061,394
1,100.0,rcrrr/rcrrr,0.0,0.0,395
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,396
2,100.0,rcrrr/rcrrr,0.0,0.0,397
1,100.0,rrcrcrc/rrcrcrc,0.00014284678867885044,0.0,398
1,100.0,rcrrr/rcrrr,0.0,0.0,399
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,400
2,100.0,rcrrr/rcrrr,0.0,0.0,401
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,402
